"","Comp 1","Comp 2","Comp 3","Comp 4","Comp 5","Comp 6","Comp 7","Comp 8"
"X4.8096",0.0036796,-0.003047,0.0015892,0.0057621,-0.027362,0.011545,-0.052237,0.04458
"X4.82964",-0.004542,-0.0060463,0.0042083,-0.015712,0.0028224,0.018228,-0.083499,0.03544
"X4.84968",0.0074229,-0.0044899,-0.0010806,0.0092921,-0.024595,0.0097801,-0.050628,0.042106
"X4.86972",0.0060932,-0.0037606,0.0021398,0.0024977,-0.029859,0.011984,-0.046456,0.044973
"X4.88976",0.0038343,-0.0041829,0.0009554,-0.0018851,-0.027679,0.004225,-0.054031,0.043723
"X4.9098",-0.0098799,-0.023826,0.007233,-0.036242,0.021734,0.0243,-0.10131,0.020127
"X4.92984",-0.022252,-0.019253,0.021525,-0.045092,0.042891,-0.0040832,-0.021331,0.0031078
"X4.94988",-0.0016718,-0.013762,0.0095356,-0.021271,0.0023775,-0.0017509,-0.0061322,0.026794
"X4.96992",0.0088711,-0.011155,0.0030401,-0.0028012,-0.019845,0.011955,-0.044259,0.04076
"X4.98996",0.014258,-0.012182,0.00086287,0.0014296,-0.025777,0.013208,-0.043179,0.040561
"X5.01",0.01623,-0.014338,0.001427,0.0024867,-0.026388,0.01372,-0.041562,0.03983
"X5.03004",0.017413,-0.015059,0.00027148,0.00032335,-0.026421,0.014746,-0.040604,0.041144
"X5.05008",0.018239,-0.017972,0.0023302,-0.0010218,-0.026728,0.015972,-0.039396,0.036699
"X5.07012",0.018348,-0.022234,0.0041339,-0.0035369,-0.020302,0.014123,-0.033387,0.03512
"X5.09016",0.021845,-0.025015,0.0026962,-0.002209,-0.022019,0.019976,-0.034452,0.033025
"X5.1102",0.024197,-0.027849,0.0027804,-0.0040914,-0.022677,0.02375,-0.032813,0.028647
"X5.13024",0.026423,-0.032174,0.00042505,-0.0028464,-0.029618,0.02284,-0.028797,0.025914
"X5.15028",0.02837,-0.038836,0.0038686,-0.0024521,-0.03456,0.019401,-0.012794,0.019143
"X5.17031",0.042411,-0.066258,0.048551,-0.0056121,-0.009924,-0.036261,0.023701,-0.006569
"X5.19035",0.0055172,-0.047123,0.05783,-0.039174,0.06293,-0.066353,0.031095,-0.016967
"X5.21039",-0.014065,-0.035947,0.05186,-0.076094,0.091342,0.0086586,-0.0052424,0.026806
"X5.23043",0.044132,-0.071914,0.011891,0.00013592,-0.032378,0.036458,-0.010672,0.003952
"X5.25047",0.05928,-0.10171,0.049179,-0.0052862,-0.024469,-0.0012235,0.020882,-0.017018
"X5.27051",0.077008,-0.13919,0.10944,-0.02451,0.013852,-0.059351,0.050894,-0.043786
"X5.29055",0.080661,-0.14743,0.14666,-0.037079,0.060152,-0.091476,0.057922,-0.063389
"X5.31059",0.058554,-0.10183,0.092775,-0.028299,0.036847,-0.057292,0.051403,-0.034595
"X5.33063",0.029832,-0.05492,0.043885,-0.03888,0.023942,-0.025044,0.056328,0.010861
"X5.35067",0.022711,0.0091926,0.0067409,-0.042977,0.048115,-0.026475,0.023541,0.010541
"X5.37071",0.023662,0.02579,0.00056651,-0.0236,0.0071713,-0.034385,0.040896,0.036209
"X5.39075",0.022158,-0.023372,0.002931,-0.0078507,-0.023194,0.008891,-0.014039,0.034213
"X5.41079",0.020111,-0.015537,-0.0011496,-0.0050318,-0.018951,0.0018485,-0.015382,0.036866
"X5.43083",0.022121,-0.0076731,-0.007429,0.0036888,-0.02405,0.0060131,-0.024904,0.038993
"X5.45087",0.01874,0.0073639,-0.0093554,0.01456,-0.02629,0.0015648,-0.033861,0.044386
"X5.47091",0.016104,0.013286,-0.014704,0.0048703,-0.031114,-0.0090151,-0.020688,0.034004
